respondent_id,case_id,case_name,category,market,data_status,过去3个月购买,月均购买频次,口味重要性,健康重要性,价格敏感,包装便利,概念相关性,品牌信任,试购结果
SIM-PUFFED-BASELINE-00001,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4793,0.8629,0.5057,-0.7594,0.5028,0.6993,0.1035,1
SIM-PUFFED-BASELINE-00002,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6117,0.7494,0.5991,1.5879,0.3867,0.5281,-0.4543,1
SIM-PUFFED-BASELINE-00003,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2022,0.9902,0.4533,1.3206,0.2094,0.1927,0.3418,1
SIM-PUFFED-BASELINE-00004,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.3429,0.9161,0.3188,0.1926,0.8935,0.6396,-0.6884,1
SIM-PUFFED-BASELINE-00005,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5324,0.2979,0.7083,0.3117,0.6027,0.388,-0.7873,1
SIM-PUFFED-BASELINE-00006,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.5,0.8028,0.7363,0.515,0.6333,0.6774,1.3003,0
SIM-PUFFED-BASELINE-00007,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5921,0.3898,0.8041,-0.3054,0.75,0.2006,-0.9181,1
SIM-PUFFED-BASELINE-00008,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.9653,0.3816,0.5884,0.734,0.7816,0.7799,-1.0647,0
SIM-PUFFED-BASELINE-00009,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2666,0.749,0.6884,-0.935,0.796,0.5327,1.1369,1
SIM-PUFFED-BASELINE-00010,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1474,0.8961,0.602,0.1387,0.7094,0.396,0.1324,1
SIM-PUFFED-BASELINE-00011,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3132,0.81,0.5652,-0.6478,0.2072,0.8846,-0.4196,1
SIM-PUFFED-BASELINE-00012,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3149,0.5748,0.8096,0.3553,0.7892,0.5276,-1.4727,1
SIM-PUFFED-BASELINE-00013,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4259,0.8092,0.4853,0.8696,0.8152,0.741,-0.6838,1
SIM-PUFFED-BASELINE-00014,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.3466,0.7922,0.4247,-0.2297,0.2844,0.5194,-0.7949,1
SIM-PUFFED-BASELINE-00015,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1356,0.8581,0.8083,-0.613,0.6272,0.7875,0.2146,1
SIM-PUFFED-BASELINE-00016,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3478,0.9218,0.1953,0.6741,0.416,0.3319,-0.45,1
SIM-PUFFED-BASELINE-00017,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6588,0.9034,0.5963,1.6361,0.7939,0.4647,-0.1914,0
SIM-PUFFED-BASELINE-00018,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4,0.8321,0.9175,0.0252,0.6081,0.6678,-0.2225,1
SIM-PUFFED-BASELINE-00019,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1251,0.8826,0.83,-0.9004,0.6412,0.6048,-0.0102,1
SIM-PUFFED-BASELINE-00020,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2691,0.814,0.1589,1.3101,0.6391,0.8036,2.2162,1
SIM-PUFFED-BASELINE-00021,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1482,0.4465,0.6659,0.3684,0.5811,0.7484,-1.6505,0
SIM-PUFFED-BASELINE-00022,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.3662,0.5079,0.2082,-1.6525,0.9321,0.5917,-0.319,0
SIM-PUFFED-BASELINE-00023,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1959,0.5726,0.7941,-2.1001,0.7371,0.6323,0.6826,0
SIM-PUFFED-BASELINE-00024,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5353,0.68,0.5338,0.3293,0.5982,0.4779,-0.1095,1
SIM-PUFFED-BASELINE-00025,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4846,0.7264,0.5243,-0.4528,0.6657,0.4826,0.1978,1
SIM-PUFFED-BASELINE-00026,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.2584,0.6787,0.5231,3.5779,0.5484,0.4252,1.2125,1
SIM-PUFFED-BASELINE-00027,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4329,0.8533,0.8232,-1.1468,0.525,0.5606,-0.5199,1
SIM-PUFFED-BASELINE-00028,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2725,0.8574,0.5783,-0.5285,0.6419,0.5866,-0.0242,1
SIM-PUFFED-BASELINE-00029,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.7154,0.5204,0.7731,0.0385,0.4628,0.4446,-0.0918,1
SIM-PUFFED-BASELINE-00030,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4028,0.9522,0.4378,-0.991,0.2985,0.4284,0.4841,1
SIM-PUFFED-BASELINE-00031,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7414,0.5266,0.5787,0.2167,0.4995,0.7415,-0.0869,1
SIM-PUFFED-BASELINE-00032,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1212,0.7422,0.6548,0.4042,0.6834,0.7475,-0.5855,0
SIM-PUFFED-BASELINE-00033,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2173,0.8389,0.4083,-0.941,0.7865,0.3213,0.1357,1
SIM-PUFFED-BASELINE-00034,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3772,0.8418,0.7433,0.5878,0.8639,0.4862,-1.6317,0
SIM-PUFFED-BASELINE-00035,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6589,0.473,0.5131,0.9136,0.4204,0.7009,-0.6155,0
SIM-PUFFED-BASELINE-00036,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2742,0.9623,0.6645,2.4829,0.6365,0.3214,-0.3997,0
SIM-PUFFED-BASELINE-00037,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0382,0.7054,0.8902,0.6594,0.5856,0.6751,0.3215,1
